Title,Genre,Director,Country,Release Year,Content Type,Duration,Rating,IMDb Rating,Language,Date Watched,Month,Year
Girlfriends,Comedy,Mara Brock Akil,USA,2000.0,TV Series,172 episodes,15+,7.2,English,2020-11-21,11,2020
Dawson's Creek,Drama,Kevin Williamson,USA,1998.0,TV Series,128 episodes,12+,6.8,English,2020-11-19,11,2020
Grand Army,Drama,Katie Cappiello,USA,2020.0,TV Series,9 episodes,18+,7.4,English,2020-11-19,11,2020
Grand Army,Drama,Katie Cappiello,USA,2020.0,TV Series,9 episodes,18+,7.4,English,2020-11-18,11,2020
Dawson's Creek,Drama,Kevin Williamson,USA,1998.0,TV Series,128 episodes,12+,6.8,English,2020-11-18,11,2020
Grand Army,Drama,Katie Cappiello,USA,2020.0,TV Series,9 episodes,18+,7.4,English,2020-11-18,11,2020
Dawson's Creek,Drama,Kevin Williamson,USA,1998.0,TV Series,128 episodes,12+,6.8,English,2020-11-18,11,2020
Dawson's Creek,Drama,Kevin Williamson,USA,1998.0,TV Series,128 episodes,12+,6.8,English,2020-11-18,11,2020
Dawson's Creek,Drama,Kevin Williamson,USA,1998.0,TV Series,128 episodes,12+,6.8,English,2020-11-18,11,2020
Dawson's Creek,Drama,Kevin Williamson,USA,1998.0,TV Series,128 episodes,12+,6.8,English,2020-11-18,11,2020
Dawson's Creek,Drama,Kevin Williamson,USA,1998.0,TV Series,128 episodes,12+,6.8,English,2020-11-17,11,2020
Girlfriends,Comedy,Mara Brock Akil,USA,2000.0,TV Series,172 episodes,15+,7.2,English,2020-11-17,11,2020
Girlfriends,Comedy,Mara Brock Akil,USA,2000.0,TV Series,172 episodes,15+,7.2,English,2020-11-17,11,2020
Girlfriends,Comedy,Mara Brock Akil,USA,2000.0,TV Series,172 episodes,15+,7.2,English,2020-11-17,11,2020
Girlfriends,Comedy,Mara Brock Akil,USA,2000.0,TV Series,172 episodes,15+,7.2,English,2020-11-17,11,2020
Girlfriends,Comedy,Mara Brock Akil,USA,2000.0,TV Series,172 episodes,15+,7.2,English,2020-11-17,11,2020
Girlfriends,Comedy,Mara Brock Akil,USA,2000.0,TV Series,172 episodes,15+,7.2,English,2020-11-16,11,2020
Girlfriends,Comedy,Mara Brock Akil,USA,2000.0,TV Series,172 episodes,15+,7.2,English,2020-11-16,11,2020
Girlfriends,Comedy,Mara Brock Akil,USA,2000.0,TV Series,172 episodes,15+,7.2,English,2020-11-16,11,2020
Girlfriends,Comedy,Mara Brock Akil,USA,2000.0,TV Series,172 episodes,15+,7.2,English,2020-11-16,11,2020
Girlfriends,Comedy,Mara Brock Akil,USA,2000.0,TV Series,172 episodes,15+,7.2,English,2020-11-16,11,2020
Girlfriends,Comedy,Mara Brock Akil,USA,2000.0,TV Series,172 episodes,15+,7.2,English,2020-11-16,11,2020
Girlfriends,Comedy,Mara Brock Akil,USA,2000.0,TV Series,172 episodes,15+,7.2,English,2020-11-16,11,2020
Girlfriends,Comedy,Mara Brock Akil,USA,2000.0,TV Series,172 episodes,15+,7.2,English,2020-11-16,11,2020
Girlfriends,Comedy,Mara Brock Akil,USA,2000.0,TV Series,172 episodes,15+,7.2,English,2020-11-16,11,2020
Girlfriends,Comedy,Mara Brock Akil,USA,2000.0,TV Series,172 episodes,15+,7.2,English,2020-11-15,11,2020
Girlfriends,Comedy,Mara Brock Akil,USA,2000.0,TV Series,172 episodes,15+,7.2,English,2020-11-15,11,2020
Girlfriends,Comedy,Mara Brock Akil,USA,2000.0,TV Series,172 episodes,15+,7.2,English,2020-11-15,11,2020
Girlfriends,Comedy,Mara Brock Akil,USA,2000.0,TV Series,172 episodes,15+,7.2,English,2020-11-15,11,2020
Girlfriends,Comedy,Mara Brock Akil,USA,2000.0,TV Series,172 episodes,15+,7.2,English,2020-11-15,11,2020
Girlfriends,Comedy,Mara Brock Akil,USA,2000.0,TV Series,172 episodes,15+,7.2,English,2020-11-14,11,2020
Girlfriends,Comedy,Mara Brock Akil,USA,2000.0,TV Series,172 episodes,15+,7.2,English,2020-11-14,11,2020
Girlfriends,Comedy,Mara Brock Akil,USA,2000.0,TV Series,172 episodes,15+,7.2,English,2020-11-14,11,2020
Girlfriends,Comedy,Mara Brock Akil,USA,2000.0,TV Series,172 episodes,15+,7.2,English,2020-11-14,11,2020
Girlfriends,Comedy,Mara Brock Akil,USA,2000.0,TV Series,172 episodes,15+,7.2,English,2020-11-14,11,2020
Girlfriends,Comedy,Mara Brock Akil,USA,2000.0,TV Series,172 episodes,15+,7.2,English,2020-11-14,11,2020
Girlfriends,Comedy,Mara Brock Akil,USA,2000.0,TV Series,172 episodes,15+,7.2,English,2020-11-14,11,2020
Girlfriends,Comedy,Mara Brock Akil,USA,2000.0,TV Series,172 episodes,15+,7.2,English,2020-11-13,11,2020
Dawson's Creek,Drama,Kevin Williamson,USA,1998.0,TV Series,128 episodes,12+,6.8,English,2020-11-13,11,2020
Dawson's Creek,Drama,Kevin Williamson,USA,1998.0,TV Series,128 episodes,12+,6.8,English,2020-11-13,11,2020
Dawson's Creek,Drama,Kevin Williamson,USA,1998.0,TV Series,128 episodes,12+,6.8,English,2020-11-12,11,2020
Dawson's Creek,Drama,Kevin Williamson,USA,1998.0,TV Series,128 episodes,12+,6.8,English,2020-11-12,11,2020
Dawson's Creek,Drama,Kevin Williamson,USA,1998.0,TV Series,128 episodes,12+,6.8,English,2020-11-12,11,2020
Dawson's Creek,Drama,Kevin Williamson,USA,1998.0,TV Series,128 episodes,12+,6.8,English,2020-11-11,11,2020
Dawson's Creek,Drama,Kevin Williamson,USA,1998.0,TV Series,128 episodes,12+,6.8,English,2020-11-10,11,2020
The Umbrella Academy,Fantasy,Steve Blackman,USA,2019.0,TV Series,30 episodes,15+,7.9,English,2020-11-10,11,2020
Dawson's Creek,Drama,Kevin Williamson,USA,1998.0,TV Series,128 episodes,12+,6.8,English,2020-11-10,11,2020
